epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,177.094,0.94971,1.09112,1.27942,0.98482,0.99809,0.99485,0.85537,0.54801,0.38793,0.94037,0.000825332,0.000825332,0.000825332
104,178.634,0.74858,0.58135,1.10269,0.99791,0.98462,0.9947,0.85364,0.50365,0.3688,0.91391,0.00081708,0.00081708,0.00081708
105,180.163,0.77882,0.63706,1.1201,0.99817,0.98462,0.9947,0.85162,0.49348,0.36879,0.90713,0.000808828,0.000808828,0.000808828
106,181.905,0.71898,0.59507,1.07378,0.98454,1,0.99485,0.85722,0.48923,0.35354,0.90517,0.000800577,0.000800577,0.000800577
107,183.355,0.76303,0.71178,1.10321,0.98325,1,0.99485,0.85291,0.48936,0.34307,0.91362,0.000792325,0.000792325,0.000792325
108,185,0.72939,0.60863,1.02071,0.98202,1,0.99136,0.83293,0.56293,0.36162,0.9585,0.000784073,0.000784073,0.000784073
109,186.494,0.84401,0.68142,1.10396,0.98483,0.99852,0.99015,0.81989,0.57658,0.37318,0.96666,0.000775822,0.000775822,0.000775822
110,187.931,0.83782,0.71177,1.12162,0.98281,0.98462,0.99132,0.83647,0.55295,0.40408,0.95584,0.00076757,0.00076757,0.00076757
111,189.447,0.6595,0.5604,1.02633,0.98116,0.98462,0.99257,0.85298,0.51336,0.42049,0.92821,0.000759318,0.000759318,0.000759318
112,191.066,0.85362,0.90445,1.19624,0.98445,1,0.995,0.83347,0.54969,0.40379,0.93013,0.000751067,0.000751067,0.000751067
113,192.554,0.94286,0.7477,1.19603,0.98429,1,0.995,0.84281,0.57949,0.39838,0.94617,0.000742815,0.000742815,0.000742815
114,193.993,0.94985,0.75611,1.1936,0.99483,1,0.995,0.8528,0.5993,0.37134,0.95377,0.000734564,0.000734564,0.000734564
115,195.498,0.946,0.91306,1.24801,0.99554,1,0.995,0.87739,0.57403,0.36242,0.94332,0.000726312,0.000726312,0.000726312
116,197.091,0.89917,0.72204,1.08558,0.99485,1,0.995,0.88242,0.50191,0.37467,0.90514,0.00071806,0.00071806,0.00071806
